first_name,last_name,address,date_of_birth
IMUDSAWAHK,VEQ,SG LKBCHV SYDNEY NSW 2000 AUSTRALIA,17-01-1950
ESP,XGBYUQSTR,NCLWFPKPB FOUNHAQSC DARWIN NT 0800 AUSTRALIA,17-04-1972
UJFYPWBX,V,W ICW MELBOURNE 3000 AUSTRALIA,19-07-1954
RMYDXALSWF,ARPQTL,YKVAPG NG ADELAIDE SA 5000 AUSTRALIA,14-07-2014
LWFKX,BHWLANJBOM,SWUM XEQKNQR DARWIN NT 0800 AUSTRALIA,08-06-1950
YIAXYBRRKZ,AZQNJXQK,PSZT SKFOMGW SYDNEY NSW 2000 AUSTRALIA,19-04-1985
XDU,DZHTEXUXI,HGFPOBL NEFTW SYDNEY NSW 2000 AUSTRALIA,07-11-1993
HFYC,GJOWPM,HYEXVFWGJ XCCHJY HOBART TAS 7000 AUSTRALIA,27-02-1960
FEKWOOHFV,W,TBH SBFY CANBERRA ACT 2600 AUSTRALIA,21-08-1955
QIB,PH,KRQZQKQNYN DBYXXZKC HOBART TAS 7000 AUSTRALIA,06-07-1966
KQIKVK,WAP,M YB DARWIN NT 0800 AUSTRALIA,19-05-1980
IWPP,E,QOBLWZNRV F ADELAIDE SA 5000 AUSTRALIA,18-09-1970
NENRHOMRSY,ETDCBLQXZQ,UXDGR LDKMREWUCB BRISBANE QLD 4001 AUSTRALIA,06-08-1954
NZ,RKOQBAHJG,FS BDBRKFP MELBOURNE 3000 AUSTRALIA,04-04-1965
CQGSQHN,N,SHDMXFU KVMSBFEE HOBART TAS 7000 AUSTRALIA,27-08-1988
CS,GHOP,ENSBNW Y SYDNEY NSW 2000 AUSTRALIA,18-03-1985
QSVXNG,HWDT,WWPKGMJ BNC PERTH WA 6000 AUSTRALIA,28-08-1997
BNYKOBQX,KINZYUHFO,PQEG FQBPYWRQX CANBERRA ACT 2600 AUSTRALIA,07-03-1988
KKZLSJZT,HID,KPPJRX ZY MELBOURNE 3000 AUSTRALIA,05-11-1964
SMBNQZEC,WAZTXEVPRH,JYDFAZIPZH WIGGBB MELBOURNE 3000 AUSTRALIA,28-04-2005
NRXZNMKLZ,FPGGPWJVW,NBRUQJRI AXLMXHIYR PERTH WA 6000 AUSTRALIA,02-07-1999
TMKH,VEO,QLP X CANBERRA ACT 2600 AUSTRALIA,02-09-1994
CG,NHOQYCJ,HQORZUBPK QADEFNAHA SYDNEY NSW 2000 AUSTRALIA,20-05-2011
P,HLK,WAEZNOCS WRX ADELAIDE SA 5000 AUSTRALIA,15-04-1971
PKGGESR,QGAFQDKJRR,SBHARXJGHS RXQVD MELBOURNE 3000 AUSTRALIA,20-06-2004
WWR,PBWC,COZOUXWP TXFA PERTH WA 6000 AUSTRALIA,18-05-2014
GZOZODLK,MBPNYCD,CESJVXE THT MELBOURNE 3000 AUSTRALIA,14-05-1968
N,VVXMM,CCIZZD PIBEK PERTH WA 6000 AUSTRALIA,14-06-2014
GO,SVMQ,WWSVIOAUC NDDLJDTWHE SYDNEY NSW 2000 AUSTRALIA,17-09-1996
NCLEEBZVK,YHQSHML,OLIGNTA MTGW SYDNEY NSW 2000 AUSTRALIA,19-11-1954
FBZU,J,KRYYQO FRQMAEJVK ADELAIDE SA 5000 AUSTRALIA,12-06-1994
XFMJ,DG,PVX TCLWSR HOBART TAS 7000 AUSTRALIA,04-06-1952
OPINKQ,UNMPTB,YYN VKMLGRXV ADELAIDE SA 5000 AUSTRALIA,08-02-1958
ZEFBT,KM,AAEM XRVCWWV SYDNEY NSW 2000 AUSTRALIA,07-08-1997
DEOZB,AWFGSHF,DIHUTAPS E MELBOURNE 3000 AUSTRALIA,20-10-1961
WCA,TTHUHY,OVENQLDPHO XWVXG MELBOURNE 3000 AUSTRALIA,16-05-1989
PRY,FQCJBO,MFIJFGKIO ZTBAX BRISBANE QLD 4001 AUSTRALIA,16-08-1981
BWI,BXGHW,GXCAQSAVP XHNDOY HOBART TAS 7000 AUSTRALIA,03-09-1992
EZM,GP,UGKPJLO VUZRRZQE HOBART TAS 7000 AUSTRALIA,05-06-2011
AIZX,YWGD,LML YKTFFZLIIL ADELAIDE SA 5000 AUSTRALIA,27-11-1976
GCOJNJZFT,SJSRYO,AD DWKGVL HOBART TAS 7000 AUSTRALIA,03-10-2001
LZLUHSJDOD,PICPQDGAX,OUHTJK JZTWEYVUZ DARWIN NT 0800 AUSTRALIA,07-08-1993
WLINDTA,XXK,BT TZGB ADELAIDE SA 5000 AUSTRALIA,12-11-1996
DTKLTHU,OGBUA,QRTNC ZRPD DARWIN NT 0800 AUSTRALIA,07-01-1999
BSOZVKCXWP,PWAAY,CPSSKRY BG BRISBANE QLD 4001 AUSTRALIA,15-08-1966
G,AREXAPZDAM,EOKB BGFOI DARWIN NT 0800 AUSTRALIA,20-05-2014
LTYMK,DFM,VJIJ LBB ADELAIDE SA 5000 AUSTRALIA,07-09-1999
CUMS,GHJLAU,GQVXPRDRR EVQYN HOBART TAS 7000 AUSTRALIA,03-07-1991
AM,GESLIEW,PWGMQB HMCWPVHFI HOBART TAS 7000 AUSTRALIA,08-10-1968
CVPMGLEJ,API,FPBNZUGZVA OIAU CANBERRA ACT 2600 AUSTRALIA,21-04-1982
UIRTYE,ZZMEK,YUISVKHY Q CANBERRA ACT 2600 AUSTRALIA,14-09-1986
SAKHXNHORC,SSLWFZ,DWGGGIYFLY QOTQUNV SYDNEY NSW 2000 AUSTRALIA,07-06-1958
TVCPRZOZ,ZO,SWORVBVG YJU PERTH WA 6000 AUSTRALIA,16-10-1999
UQIYZ,ZRHAUH,RCKMFLYX YZGAF HOBART TAS 7000 AUSTRALIA,01-08-1974
L,ISZFVHDJ,ZZI DS ADELAIDE SA 5000 AUSTRALIA,01-04-1982
EQE,CEDGTVFZU,YVLZBEODA CUK BRISBANE QLD 4001 AUSTRALIA,02-07-2010
TRQEUU,IYYWVKN,KU CUUR ADELAIDE SA 5000 AUSTRALIA,04-04-1961
TNVA,NMX,N W BRISBANE QLD 4001 AUSTRALIA,06-07-1975
VOIUSEKD,XXPIVSFG,TIPKKI R BRISBANE QLD 4001 AUSTRALIA,16-10-1997
DNUGEFRPIL,NB,LCZ AOIAVAW BRISBANE QLD 4001 AUSTRALIA,04-05-1990
OJUSCWGVL,VGNT,LGXEUSEZ T BRISBANE QLD 4001 AUSTRALIA,12-11-2007
VETEGLV,YYJ,GIEL KDNFPEN CANBERRA ACT 2600 AUSTRALIA,12-01-1950
SZZG,TRDYQ,FBFBGCYN PWDEN CANBERRA ACT 2600 AUSTRALIA,19-06-1980
XLWCL,GGFIMW,HGAYISFS HUGVISEC DARWIN NT 0800 AUSTRALIA,26-11-1950
A,GTYFNOQMOC,CAJ NXHKJKPZF CANBERRA ACT 2600 AUSTRALIA,01-05-1994
OSUXQTAMGY,SLNVOLKPSA,VGFUA JVFQYF CANBERRA ACT 2600 AUSTRALIA,20-09-1956
OM,FIONMJUA,O D CANBERRA ACT 2600 AUSTRALIA,20-04-1961
YDVXU,KV,J MEYLUKXP CANBERRA ACT 2600 AUSTRALIA,03-06-1974
FZMRYEAZXO,VVXSWGF,HOMGJIXKNE EF MELBOURNE 3000 AUSTRALIA,28-04-2006
XGDFFHA,SRZXSNN,EXDFW UER PERTH WA 6000 AUSTRALIA,25-08-1982
EPO,EEDR,WHMRYUQLG GAEBZDDI SYDNEY NSW 2000 AUSTRALIA,27-01-2005
WVPG,ZMVZFONLC,T CYUIK ADELAIDE SA 5000 AUSTRALIA,21-07-2018
